MUNICÍPIO; BAIRROS
Itaituba; BOM REMÉDIO
Itaituba; FLORESTA
Itaituba; JARDIM TAPAJÓS
Itaituba; MARIA MADALENA
Itaituba; PERPÉTUO SOCORRO
Itaituba; SÃO FRANCISCO
Itaituba; VALE DO TAPAJÓS
Itaituba; NOVO PARAÍSO
Itaituba; BOA ESPERANÇA
Itaituba; JARDIM AEROPORTO
Itaituba; LIBERDADE
Itaituba; VALMIRLÂNDIA
Itaituba; BELA VISTA
Itaituba; CENTRO
Itaituba; NOVA ITAITUBA
Itaituba; PIRACANÃ
Itaituba; SÃO JOSÉ
Itaituba; VITÓRIA-RÉGIA
Itaituba; BOM JARDIM
Itaituba; JARDIM DAS ARARAS
Itaituba; RESIDENCIAL WIRLAND FREIRE
Itaituba; SANTO ANTÔNIO
Itaituba; RESIDENCIAL VIVA ITAITUBA
Itaituba; RESIDENCIAL VALE DO PIRACANÃ
Itaituba; JARDIM AMÉRICA
Itaituba; CAMPO BELO
