MUNICÍPIO; BAIRROS
Marabá; QUINDANGUES
Marabá; AGRÓPOLIS INCRA		-
Marabá; AMAPÁ		
Marabá; BAIRRO DA PAZ	
Marabá; BELO HORIZONTE	
Marabá; BOM PLANALTO	
Marabá; CARAJÁS II
Marabá; CARAJÁS I
Marabá; JARDIM IMPERIAL
Marabá; CIDADE NOVA	
Marabá; FILADÉLFIA	
Marabá; INDEPENDÊNCIA	
Marabá; FRONTEIRA
Marabá; JARDIM BELA VISTA
Marabá; JARDIM SÃO JOÃO	
Marabá; JARDIM UNIÃO	
Marabá; JARDIM VITÓRIA	
Marabá; PARQUE DAS LARANJEIRAS	
Marabá; LIBERDADE	
Marabá; NOVO HORIZONTE	
Marabá; NOVO PLANALTO	
Marabá; SÃO MIGUEL DA CONQUISTA	
Marabá; VILA SÃO JOSÉ
Marabá; VALE DO ITACAIUNAS
Marabá; NEWTON MIRANDA
Marabá; CASTANHEIRA II
Marabá; CASTANHEIRA I
Marabá; CAT
Marabá; JARDIM ALVORADA
